Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2023-10-26,3866.87646484375,4067.293842594798,3866.87646484375,4067.293842594798,330618800
2023-10-27,3929.75244140625,3969.0499658203125,3882.595412109375,3890.4549169921875,129599800
2023-10-30,3929.75244140625,3949.4012036132813,3906.1739267578128,3914.033431640625,108523700
2023-10-31,3898.314697265625,3929.752719017767,3898.314697265625,3914.033708141696,106760300
2023-11-01,3796.141357421875,3898.3149343297105,3796.141357421875,3866.876910665761,191567200
2023-11-02,3929.75244140625,3988.698728027344,3859.016897460938,3882.595412109375,208075400
2023-11-03,4008.34765625,4067.2939453125005,3949.4013671875005,3949.4013671875005,125504000
2023-11-06,4086.942626953125,4086.942626953125,4008.3475764347954,4008.3475764347954,122333800
2023-11-07,4126.24072265625,4145.889488002232,4067.294426618303,4106.591957310267,137039400
2023-11-08,4106.591796875,4126.240561453349,4067.2942677183014,4086.9430322966505,86713700
2023-11-09,4086.942626953125,4145.888914841872,4086.942626953125,4106.591389582707,66236400
2023-11-10,3988.69873046875,4047.645017125924,3969.0499682496925,4047.645017125924,113811900
2023-11-13,3949.4013671875,4027.9964192708335,3949.4013671875005,3988.698893229167,63126900
2023-11-14,3988.69873046875,4027.996254906866,3969.0499682496925,3988.6987304687505,85419500
2023-11-15,4126.24072265625,4165.538253348214,4067.294426618303,4086.9431919642852,193790400
2023-11-16,4126.24072265625,4145.889488002232,4067.294426618303,4145.889488002232,99488800
2023-11-17,4106.591796875,4126.240561453349,4067.2942677183014,4067.2942677183014,70727500
2023-11-20,4126.24072265625,4145.889488002232,4067.294426618303,4067.294426618303,54123600
2023-11-21,4086.942626953125,4126.240152212289,4067.2938643235425,4106.591389582707,104110500
2023-11-22,4145.8896484375,4165.538414543839,4067.2945840121447,4067.2945840121447,103585500
2023-11-23,4204.83544921875,4244.132976781542,4165.537921655958,4185.186685437354,174572400
2023-11-24,4244.13330078125,4283.43083134404,4224.484535499855,4244.13330078125,92571400
2023-11-27,4204.83544921875,4283.430504344334,4204.83544921875,4263.7817405629385,76019100
2023-11-28,4204.83544921875,4263.7817405629385,4185.186685437354,4185.186685437354,147993400
2023-11-29,4165.5380859375,4224.484379606427,4165.5380859375,4204.835615050118,106197800
2023-11-30,4145.8896484375,4224.484712862855,4145.8896484375,4224.484712862855,224426400
2023-12-01,4204.83544921875,4224.484213000146,4145.8891578745615,4145.8891578745615,99499500
2023-12-04,4322.72802734375,4381.67431862571,4283.430499822443,4283.430499822443,235595700
2023-12-05,4283.4306640625,4322.7281930905965,4263.781899548451,4263.781899548451,114689900
2023-12-06,4263.78173828125,4283.4305020521315,4244.1329745103685,4263.78173828125,119716700
2023-12-07,4303.0791015625,4303.0791015625,4244.1328125,4244.1328125,102126600
2023-12-08,4224.48388671875,4283.430173510174,4224.48388671875,4263.781411246367,130542600
2023-12-11,4165.5380859375,4224.484379606427,4165.5380859375,4185.186850493809,124468600
2023-12-12,4185.1865234375,4244.1328125,4185.1865234375,4224.484049479167,134501600
2023-12-13,4165.5380859375,4204.835615050118,4145.889321381191,4165.5380859375,98881600
2023-12-14,4362.02587890625,4362.02587890625,4263.782052804758,4283.430818025056,239261700
2023-12-15,4362.02587890625,4401.323409346846,4362.02587890625,4381.674644126549,252448800
2023-12-18,4322.72802734375,4381.67431862571,4322.72802734375,4381.67431862571,102780900
2023-12-19,4362.02587890625,4362.02587890625,4283.430818025056,4283.430818025056,135207300
2023-12-20,4362.02587890625,4479.91847022804,4362.02587890625,4479.91847022804,138470900
2023-12-21,4381.67431640625,4401.323080156951,4342.376788904849,4362.025552655549,99049600
2023-12-22,4460.26953125,4479.918295704846,4401.323237885463,4440.620766795154,109411300
2023-12-27,4420.97216796875,4499.567228732639,4420.97216796875,4479.918463541667,122236700
2023-12-28,4499.56689453125,4519.215658262828,4460.269367068096,4479.918130799672,121434600
2023-12-29,4499.56689453125,4519.215658262828,4460.269367068096,4519.215658262828,93126000
2024-01-02,4526.6875,4526.6875,4486.804790748899,4506.746145374449,91143100
2024-01-03,4466.86328125,4506.745989118303,4466.86328125,4486.804635184152,83659700
2024-01-04,4546.62890625,4546.62890625,4446.922131990132,4466.863486842105,92683500
2024-01-05,4586.51123046875,4666.276643172555,4546.628524116848,4566.569877292799,134929600
2024-01-08,4486.8046875,4626.394166666667,4486.8046875,4586.511458333333,152015000
2024-01-09,4546.62890625,4546.62890625,4486.804841694079,4486.804841694079,105666200
2024-01-10,4546.62890625,4546.62890625,4486.804841694079,4486.804841694079,82626400
2024-01-11,4586.51123046875,4626.393936820652,4546.628524116848,4586.51123046875,116804400
2024-01-12,4666.27685546875,4666.27685546875,4606.45279321915,4626.394147302351,109715700
2024-01-15,4646.33544921875,4706.159510796674,4606.452741500134,4666.276803078058,115126700
2024-01-16,4646.33544921875,4686.218156937366,4606.452741500134,4646.33544921875,97074300
2024-01-17,4606.45263671875,4646.335343530168,4586.5112833130415,4646.335343530168,107941600
2024-01-18,4586.51123046875,4626.393936820652,4546.628524116848,4626.393936820652,87259100
2024-01-19,4626.3935546875,4626.3935546875,4546.628148572198,4586.51085162985,75370700
2024-01-22,4606.45263671875,4626.393990124459,4546.628576501624,4606.45263671875,97545600
2024-01-23,4546.62890625,4586.5116159539475,4506.7461965460525,4546.62890625,122999700
2024-01-24,4506.74609375,4546.628802544248,4446.922030558629,4526.687448147124,104225000
2024-01-25,4407.0390625,4506.74582861991,4407.0390625,4446.921768947964,120478800
2024-01-26,4327.27392578125,4367.156634774626,4307.332571284563,4347.215280277937,185244400
2024-01-29,4446.921875,4446.921875,4307.332399103139,4307.332399103139,145629600
2024-01-30,4486.8046875,4506.746041666666,4367.1565625,4407.039270833333,150513700
2024-01-31,4546.62890625,4606.452970805921,4526.687551398026,4566.570261101973,245117200
2024-02-01,4586.51123046875,4626.393936820652,4566.569877292799,4606.452583644701,156633900
2024-02-02,4666.27685546875,4666.27685546875,4586.511439135951,4626.394147302351,177209700
2024-02-05,4606.45263671875,4646.335343530168,4586.5112833130415,4626.393990124459,113760000
2024-02-06,4646.33544921875,4706.159510796674,4626.394095359442,4706.159510796674,126704300
2024-02-07,4666.27685546875,4706.159563635149,4646.33550138555,4666.27685546875,147005300
2024-02-12,4805.86669921875,4805.86669921875,4666.277210029823,4686.218565628242,171514600
2024-02-13,4785.9248046875,4825.807511393229,4746.042097981771,4825.807511393229,145852200
2024-02-15,4885.6318359375,5005.279962531888,4865.690481505102,5005.279962531888,308685100
2024-02-16,4905.5732421875,4945.4559514735765,4885.631887544461,4905.5732421875,130814400
2024-02-19,4865.68994140625,4925.513998062885,4845.748589187372,4885.631293625129,111382900
2024-02-20,5025.220703125,5025.220703125,4925.513943142361,4925.513943142361,160872600
2024-02-21,5025.220703125,5085.044759114584,4965.396647135417,5045.162055121528,168423000
2024-02-22,4985.33837890625,5025.2210859375,4965.397025390625,4985.33837890625,100256000
2024-02-23,4885.6318359375,4925.514544802296,4825.807772640306,4885.6318359375,148643000
2024-02-26,4925.51513671875,4945.456493547571,4845.749709403466,4865.691066232287,98920800
2024-02-27,4885.6318359375,4945.455899234694,4885.6318359375,4885.6318359375,99187500
2024-02-28,4965.39697265625,4965.39697265625,4865.690206137048,4865.690206137048,97236700
2024-02-29,4885.6318359375,4945.455899234694,4885.6318359375,4905.573190369898,173774600
2024-03-01,4885.6318359375,4925.514544802296,4845.749127072704,4925.514544802296,76286400
2024-03-04,4825.8076171875,4885.631678557593,4825.8076171875,4885.631678557593,70354900
2024-03-05,4885.6318359375,4925.514544802296,4845.749127072704,4865.690481505102,115084600
2024-03-06,4945.4560546875,4945.4560546875,4865.690634450604,4865.690634450604,84108800
2024-03-07,4965.39697265625,5005.279679263931,4945.4556193524095,4945.4556193524095,117724700
2024-03-08,5065.10400390625,5104.986712598425,4985.3385865219,5005.279940867987,163060000
2024-03-13,5104.98681640625,5144.869525909424,5065.104106903076,5065.104106903076,195173100
2024-03-14,5092.56591796875,5133.9688929115855,5009.759968083079,5113.267405440168,271254000
2024-03-15,4947.65478515625,5030.460722983133,4926.95330069953,4968.356269612971,305995800
2024-03-18,4968.3564453125,5051.162386067708,4947.6549601236975,4968.3564453125,110564700
2024-03-19,4968.3564453125,5009.759415690104,4947.6549601236975,4968.3564453125,114338600
2024-03-20,5051.162109375,5051.162109375,4968.356173155738,4968.356173155738,120885400
2024-03-21,5051.162109375,5133.968045594263,5051.162109375,5113.266561539447,136020000
2024-03-22,5071.8642578125,5071.8642578125,5009.7597975127555,5009.7597975127555,46529200
2024-03-25,5175.37158203125,5175.37158203125,5071.864150390625,5175.37158203125,115729600
2024-03-26,5216.7744140625,5216.7744140625,5133.968470982143,5216.7744140625,120748400
2024-03-27,5175.37158203125,5237.476041015625,5154.670095703124,5216.774554687499,73308900
2024-03-28,5009.75927734375,5133.968185046488,4989.057792726627,5051.162246577996,288926900
2024-04-01,4906.251953125,4989.057893262131,4823.44601298787,4968.356408227848,217207800
2024-04-02,4699.2373046875,4926.953649848569,4657.834332840033,4844.147706153634,412180900
2024-04-03,4657.8349609375,4699.237938368055,4575.029006076389,4616.431983506945,333518700
2024-04-04,4719.93896484375,4761.3419382195725,4678.5359914679275,4678.5359914679275,131936100
2024-04-05,4678.5361328125,4719.93910743916,4657.834645499171,4657.834645499171,178817800
2024-04-16,4430.1181640625,4616.431544794101,4430.1181640625,4450.819650810456,600717500
2024-04-17,4388.71533203125,4554.327231353184,4388.71533203125,4533.625743937942,244002000
